name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg,gender
Mark Holst,12.0,6.0,182.88,70.31,,Orthodox,38.0,0.25,0.19,1.67,0.47,0.76,1.0,0.6,2.3,MALE
Julio Paulino,23.0,5.0,182.88,77.11,,Orthodox,48.0,0.97,0.27,1.87,0.48,0.0,0.0,0.37,0.5,MALE
John Gunderson,35.0,16.0,175.26,70.31,175.26,Orthodox,45.0,1.04,0.27,1.71,0.58,1.67,0.33,0.11,2.0,MALE
Tomasz Drwal,21.0,5.0,185.42,92.99,193.04,Orthodox,42.0,3.29,0.38,2.26,0.57,3.55,0.6,0.82,0.4,MALE
Forrest Petz,26.0,10.0,175.26,77.11,180.34,Orthodox,48.0,2.27,0.29,2.2,0.57,1.3,1.0,0.66,0.0,MALE
James Toney,0.0,1.0,175.26,99.79,,Orthodox,55.0,0.0,0.0,2.41,0.27,0.0,0.0,0.0,0.0,MALE
John Salter,14.0,3.0,185.42,83.91,187.96,Southpaw,39.0,1.68,0.32,1.68,0.68,2.85,0.46,0.66,0.5,MALE
James Irvin,17.0,10.0,187.96,92.99,190.5,Orthodox,45.0,2.03,0.48,3.86,0.35,0.0,0.0,0.36,0.5,MALE
Steve Steinbeiss,9.0,4.0,190.5,83.91,190.5,Orthodox,42.0,3.92,0.55,1.86,0.49,0.44,0.5,0.58,0.0,MALE
James Hammortree,6.0,3.0,190.5,83.91,,Orthodox,40.0,1.93,0.3,4.13,0.44,2.0,0.5,1.0,1.0,MALE
Jesse Lennox,14.0,4.0,175.26,77.11,182.88,Orthodox,42.0,2.69,0.32,3.2,0.64,1.22,0.66,0.63,0.3,MALE
Dan Lauzon,17.0,6.0,177.8,70.31,,Orthodox,35.0,1.34,0.25,4.09,0.61,1.63,0.33,0.8,2.7,MALE
Joe Brammer,7.0,3.0,172.72,70.31,,Orthodox,40.0,2.15,0.31,2.8,0.56,0.81,0.5,0.5,0.0,MALE
Paul Daley,39.0,15.0,175.26,77.11,193.04,Orthodox,41.0,3.14,0.47,2.37,0.6,0.91,0.4,0.64,0.0,MALE
Jonathan Goulet,23.0,12.0,182.88,77.11,185.42,Orthodox,44.0,1.61,0.41,2.01,0.46,4.17,0.7,0.45,0.6,MALE
Renzo Gracie,13.0,7.0,177.8,83.91,,Orthodox,57.0,1.71,0.41,1.67,0.55,1.13,0.2,0.4,0.8,MALE
Brad Blackburn,18.0,13.0,177.8,77.11,185.42,Orthodox,46.0,4.55,0.35,3.59,0.65,0.93,0.5,0.76,0.7,MALE
Matt Veach,17.0,5.0,180.34,70.31,,Orthodox,42.0,1.12,0.28,4.91,0.44,3.64,0.38,1.0,1.5,MALE
Mostapha Al-Turk,6.0,6.0,187.96,111.13,195.58,Orthodox,50.0,1.36,0.19,3.61,0.53,0.0,0.0,0.0,0.0,MALE
Ronys Torres,35.0,5.0,170.18,70.31,,Orthodox,48.0,0.87,0.26,1.93,0.57,4.0,0.47,0.16,0.5,MALE
Lucio Linhares,19.0,8.0,187.96,83.91,,Orthodox,50.0,0.99,0.22,3.47,0.34,1.86,0.5,0.5,1.9,MALE
Rory Markham,17.0,6.0,182.88,77.11,180.34,Orthodox,42.0,1.98,0.21,10.27,0.45,0.0,0.0,0.0,0.0,MALE
Paul Buentello,35.0,17.0,187.96,111.13,195.58,Orthodox,50.0,3.29,0.45,3.83,0.52,0.19,0.33,0.39,0.4,MALE
Shannon Gugerty,15.0,7.0,177.8,70.31,180.34,Orthodox,42.0,1.25,0.39,1.88,0.58,2.13,0.27,0.5,3.4,MALE
Chase Gormley,14.0,6.0,190.5,120.2,,Orthodox,,3.6,0.42,6.03,0.44,3.12,0.42,0.0,1.0,MALE
